Nom méthode;Famille méthode de contrôle biologique;Sous-famille méthode de contrôle biologique;Type de traitement;Partie traitée;Mode d'action;Groupe ciblé;Cible principale;"Autres caractéristiques (précision; nom commercial; caractéristiques d'emploi…)";Stade d'application;RDD ou OAD;Nombre d'application;Dose application;Niveau de satisfaction de l'utilisation de la méthode;Filière;Cultures;Pleine terre ou abri;Période expérimentation;Nom du projet;Site expérimental;Code postal site;Nom du système;Lien fiche SYSTEME
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Chenilles;Bactura;Traiter dès les premiers symptômes;Bon;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;ARMEFLHOR;97410;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche_SYSTEME_RESCAM_Armeflhor_Rescam.pdf;;;
Mélange fleuri et ligne de maïs;Plantes de service;Plantes attractives;Favorise les auxilaires;Aérienne;Effet attractif;Diptères;Mouches;Bon;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;ARMEFLHOR;97410;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche_SYSTEME_RESCAM_Armeflhor_Rescam.pdf;Non spécifié;;;;
Phéromone diptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Détection/piégeages de masse;Diptères;Mouches;Piège à phéromone;Piégeage des males;Aucun avis émis;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;ARMEFLHOR;97410;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche_SYSTEME_RESCAM_Armeflhor_Rescam.pdf;;;
Spinosad appat;Substances naturelles;Origine bactérienne;Insecticides;Aérienne;Ingestion;Diptères;Mouches;Syneïs appat;Utilisé sur maîs car il attire les mouches;Bon;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;ARMEFLHOR;97410;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche_SYSTEME_RESCAM_Armeflhor_Rescam.pdf;;;
Crotalaire;Plantes de service;Plantes de biofumigation;Bactéricides;Sol;Biofumigation;Bactériose;Ralstonia solanacearum;Mis en place avant la culture de la tomate;Aucun avis émis;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;EPLEFPA Saint-Paul;97460;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Paul.pdf;;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Chenilles;Bactura;Traiter dès les premiers symptômes;Bon;Cultures tropicales;"Tomate; citrouille";Plein champ;2013-2018;RESCAM;EPLEFPA Saint-Paul;97460;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Paul.pdf;;;
Mélange fleuri et ligne de maïs;Plantes de service;Plantes attractives;Favorise les auxilaires;Aérienne;Effet attractif;Diptères;Mouches;Bon;Cultures tropicales;"Tomate; citrouille";Plein champ;2014-2018;RESCAM;EPLEFPA Saint-Paul;97460;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Paul.pdf;Non spécifié;;;;
Phéromone diptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Détection/piégeages de masse;Diptères;Mouches;Piège à phéromone;Aucun avis émis;Cultures tropicales;"Tomate; citrouille";Plein champ;2014-2018;RESCAM;EPLEFPA Saint-Paul;97460;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Paul.pdf;;;;
Soufre;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Soufre mouillable;traitement au début des contamination;Bon;Cultures tropicales;"Tomate; citrouille";Plein champ;2013-2018;RESCAM;EPLEFPA Saint-Paul;97460;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Paul.pdf;;;
Spinosad appat;Substances naturelles;Origine bactérienne;Insecticides;Aérienne;Ingestion;Diptères;Mouches;Syneïs appat;Traitement par tâche sur le maïs;Bon;Cultures tropicales;"Tomate; citrouille";Plein champ;2014-2018;RESCAM;EPLEFPA Saint-Paul;97460;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Paul.pdf;;;
