Nom méthode;Famille méthode de contrôle biologique;Sous-famille méthode de contrôle biologique;Type de traitement;Partie traitée;Mode d'action;Groupe ciblé;Cible principale;"Autres caractéristiques (précision; nom commercial; caractéristiques d'emploi…)";Stade d'application;RDD ou OAD;Nombre d'application;Dose application;Niveau de satisfaction de l'utilisation de la méthode;Filière;Cultures;Pleine terre ou abri;Période expérimentation;Nom du projet;Site expérimental;Code postal site;Nom du système;Lien fiche SYSTEME
Stimulateur des défenses;Autres méthodes;Stimulateur des défenses;Fongicides;Aérienne;Stimulateur des défenses des plantes;Oomycètes;Mildiou;Bon;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Stimulateur des défenses;Autres méthodes;Stimulateur des défenses;Fongicides;Aérienne;Stimulateur des défenses des plantes;Ascomycètes;Oïdium;Bon;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Mineuses;Bon;Légumes;Tomate;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Savon;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Acariens;Acariens;Savon noir;Aucun avis émis;Légumes;Toutes cultures leg;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;4SYSLEG;;;;
Savon;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Pucerons;Pucerons;Savon noir;Aucun avis émis;Légumes;Toutes cultures leg;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;4SYSLEG;;;;
Savon;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Thrips;Thrips;Savon noir;Aucun avis émis;Légumes;Toutes cultures leg;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;4SYSLEG;;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Chenilles;2 à 3 fois à 7 jours d'intervalle;Aucun avis émis;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;4SYSLEG;;;;
Hydrogénocarbonate de potassium;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Traitement en plein;tous les 7 jours;Bon;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf;;;
Lecanicillium muscarium;Micro-organismes;Préparation fongique;Insecticides;Aérienne;Parasitisme;Hémiptères;Aleurodes;Champignons entomopathogènes  Mycothal;Aucun avis émis;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;4SYSLEG;;;;
Macrolophus pygmaeus;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Pucerons;Pucerons;Macroorganismes prédateurs;Faire des lachers précoces avec des nourrissages;Aucun avis émis;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf;;;
Soufre;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Soufre mouillable;Traitement en plein;tous les 7 jours;Bon;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf;;
Laminarine;Substances naturelles;Origine végétale;Fongicides;Aérienne;Stimulateur des défenses des plantes;Oomycètes;Mildiou;Traitement en plein;2 applications à 7 et 14 après plantation;Aucun avis émis;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf;;;
Phosphate ferrique;Substances naturelles;Origine minérale;Molluscicides;Sol;Ingestion;Mollusques;Limaces;traitement granulés;1 à 2 apports;Mitigé;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Détection/piégeages de masse;Lépidoptères;Noctuelles;Piège à phéromone Piège à phéromone;Aucun avis émis;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;4SYSLEG;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Détection/piégeages de masse;Lépidoptères;Noctuelles;Piège à phéromone Piège à phéromone;Aucun avis émis;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;4SYSLEG;;;;
Syrphes;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Pucerons;Pucerons;Syrphes attirés par Alyssum maritimum 6 mottes /100 m²);installation au printemps;Bon;Légumes;"Melon; concombre; aubergine";Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66202;LongAB;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf;;;
Aphidius colemani;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Pucerons;Pucerons;Aphidius colemani sur Eleusine coracana 6 mottes/10 m²);installation au printemps;Bon;Légumes;"Melon; concombre; aubergine";Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66201;LongAB;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Détection/piégeages de masse;Lépidoptères;Mineuses;Piège à phéromone Piège à phéromone;Aucun avis émis;Légumes;Tomate;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;4SYSLEG;;;;
Macrolophus pygmaeus;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Hémiptères;Aleurodes;Macrolophus pygmaeus sur Calendulas officinalis (40 pots/100m²);installation au printemps sur des souci;Bon;Légumes;"Tomate; aubergine";Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongAB;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf;;;
Aphidius colemani;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Pucerons;Pucerons;Aphidius colemani (Eleusine coracana : 1 pot/100m²);Mitigé;Légumes;Concombre;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Syrphes;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Pucerons;Pucerons;Syrphes attirés par Alyssum maritimum 6 mottes /100 m²);Mitigé;Légumes;Concombre;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Bacillus subtilis;Micro-organismes;Préparation bactérienne;Fongicides;Aérienne;Antagonisme et stimulateur de défense des plantes;Ascomycètes;Botrytis cinerea;Sur laitue du premeier tour;Mitigé;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Bacillus subtilis;Micro-organismes;Préparation bactérienne;Fongicides;Aérienne;Antagonisme et stimulateur de défense des plantes;Ascomycètes;Sclérotinia;Sur laitue du premeier tour;Mitigé;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Coniothyrium minitans;Micro-organismes;Préparation fongique;Fongicides;Sol;Parasites des sclérotes;Ascomycètes;Sclérotinia;Piège à phéromone;Aucun avis émis;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Détection/piégeages de masse;Lépidoptères;Noctuelles;Pour détecter et réduire  Piège à phéromone;Aucun avis émis;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Détection/piégeages de masse;Lépidoptères;Noctuelles;Pour détecter et réduire  Piège à phéromone;Aucun avis émis;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Hydrogénocarbonate de potassium;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Application alterant avec BC;Bon;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Phosphate ferrique;Substances naturelles;Origine minérale;Molluscicides;Sol;Ingestion;Mollusques;Limaces;"Application à la plantation et sous le apillage; un ou deux apports par culture; été apport si observation";Mitigé;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Soufre;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Soufre mouillable;Application alterant avec soufre;Bon;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf;;;
Alysson maritime;Plantes de service;Plantes attractives;Favorise les auxilaires;Aérienne;Plantes attractives;Pucerons;Pucerons;Alysson maritime plantes attractives des syrphes);Bon;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Aphidius colemani;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Pucerons;Pucerons;Bon;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf;Non spécifié;;;;
Bacillus amyloliquefaciens;Micro-organismes;Préparation bactérienne;Fongicides;Aérienne;Antagonisme et stimulateur de défense des plantes;Ascomycètes;Botrytis cinerea;Produits de biocontrôle contre les maladies;Si les mesures préventives ne fonctionnent pas assez;Bon;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf;;;
Eleusine;Plantes de service;Plantes attractives;Favorise les auxilaires;Aérienne;Plantes relais;Pucerons;Pucerons;Eleusine avec Aphidius colemani;Bon;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Hydrogénocarbonate de potassium;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Si les mesures préventives ne fonctionnent pas assez;Bon;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Neoseiulus californicus;Macro-organismes;Acariens  prédateurs;Acaricides;Aérienne;Acariens prédateurs;Acariens;Acariens;En pépinières;Aucun avis émis;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Phosphate ferrique;Substances naturelles;Origine minérale;Molluscicides;Sol;Ingestion;Mollusques;Limaces;Sluxx;en granulés;Bon;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf;;;
Phosphonates de potassium;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Oomycètes;Mildiou;Produit de biocontrôle contre les maladies;Si les mesures préventives ne fonctionnent pas assez;Bon;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf;;;
Phytoseiulus persimilis;Macro-organismes;Acariens  prédateurs;Acaricides;Aérienne;Acariens prédateurs;Acariens;Acariens;mi-avril lors des premirs foyers apport possible après soufre;Bon;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Trichoderma asperellum;Micro-organismes;Préparation fongique;Fongicides;Sol;Fongicide de contact multi-sites;Deutéromycète;Fusariose;Produits de biocontrôle contre les maladies;Si les mesures préventives ne fonctionnent pas assez;Bon;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf;;;
Aphidius colemani;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Pucerons;Pucerons;Aphidius colemani (Eleusine coracana : 1 pot/100m²);Mitigé;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Syrphes;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Pucerons;Pucerons;Syrphes attirés par Alyssum maritimum 6 mottes /100 m²);Mitigé;Légumes;Melon;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Macrolophus pygmaeus;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Hémiptères;Aleurodes;Macrolophus avec Calendula officinalis;Utilisation des macrolophus recuprérés sur les culutures précédentes;Bon;Légumes;Tomate;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Mineuses;appliqués lorsque de jeunes chenilles par série de 2 au 3 à 7 jours d’intervalle;Mitigé;Légumes;Tomate;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Lecanicillium muscarium;Micro-organismes;Préparation fongique;Insecticides;Aérienne;Parasitisme;Hémiptères;Aleurodes;Aplications repétées nécessaires.;Bon;Légumes;Tomate;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Détection/piégeages de masse;Lépidoptères;Mineuses;Pour détecter et réduire  Piège à phéromone;Aucun avis émis;Légumes;Tomate;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;LongRed;4SYSLEG;;;;
Granulovirus;Micro-organismes;Préparation virale;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;Alterner les ilots pour éviter les résistances ou choisir des isolats adaptés;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Ariane.pdf;;;;
Huiles diverses;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Pucerons;Pucerons;asphyxie les jeunes larves et gène l'installation des colonies;Mitigé;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Ariane.pdf;;;;
Kaolin;Substances naturelles;Origine minérale;Insecticides;Aérienne;Effet barrières;Pucerons;Pucerons;pertube le vol de retour du pucerons cendré à l'automne;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Ariane.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Carpocapse;500 à 1000 diffuseurs /ha Confusion sexuelle;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Ariane.pdf;;;;
Steinernema carpocapsae;Macro-organismes;Nématodes parasites d'insectes;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;"Nématodes parasites d'insectes. Contre les larves hivernantes; pluvérisation sur sol et troncs après récolte";Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Ariane.pdf;;;;
Tagètes et romarin;Plantes de service;Plantes répulsives;Insecticides;Aérienne;Plantes répulsives;Pucerons;Pucerons;Installation de plantes répulsives;Aucun avis émis;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Ariane.pdf;;;;
Granulovirus;Micro-organismes;Préparation virale;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;Alterner les ilots pour éviter les résistances ou choisir des isolats adaptés;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf;;;;
Huiles diverses;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Pucerons;Pucerons;asphyxie les jeunes larves et gène l'installation des colonies;Mitigé;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf;;;;
Kaolin;Substances naturelles;Origine minérale;Insecticides;Aérienne;Effet barrières;Pucerons;Pucerons;perturbe le vol de retour du pucerons cendré à l'automne;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Carpocapse;500 à 1000 diffuseurs /ha Confusion sexuelle;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf;;;;
Steinernema carpocapsae;Macro-organismes;Nématodes parasites d'insectes;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;"Nématodes parasites d'insectes. Contre les larves hivernantes; pluvérisation sur sol et troncs après récolte";Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf;;;;
Tagètes et romarin;Plantes de service;Plantes répulsives;Insecticides;Aérienne;Plantes répulsives;Pucerons;Pucerons;Installation de plantes répulsives;Aucun avis émis;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf;;;;
Granulovirus;Micro-organismes;Préparation virale;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;Alterner les ilots pour éviter les résistances ou choisir des isolats adaptés;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Smoothee.pdf;;;;
Huiles diverses;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Pucerons;Pucerons;asphyxie les jeunes larves et gène l'installation des colonies;Mitigé;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Smoothee.pdf;;;;
Kaolin;Substances naturelles;Origine minérale;Insecticides;Aérienne;Effet barrières;Pucerons;Pucerons;perturbe le vol de retour du pucerons cendré à l'automne;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Smoothee.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Carpocapse;500 à 1000 diffuseurs /ha Confusion sexuelle;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Smoothee.pdf;;;;
Steinernema carpocapsae;Macro-organismes;Nématodes parasites d'insectes;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;"Nématodes parasites d'insectes. Contre les larves hivernantes; pluvérisation sur sol et troncs après récolte";Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Smoothee.pdf;;;;
Tagètes et romarin;Plantes de service;Plantes répulsives;Insecticides;Aérienne;Plantes répulsives;Pucerons;Pucerons;Installation de plantes répulsives;Aucun avis émis;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;BIO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Smoothee.pdf;;;;
Granulovirus;Micro-organismes;Préparation virale;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;Alterner les ilots pour éviter les résistances ou choisir des isolats adaptés;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf;;;;
Huiles diverses;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Pucerons;Pucerons;asphyxie les jeunes larves et gène l'installation des colonies;Mitigé;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf;;;;
Kaolin;Substances naturelles;Origine minérale;Insecticides;Aérienne;Effet barrières;Pucerons;Pucerons;pertube le vol de retour du pucerons cendré à l'automne;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Carpocapse;500 à 1000 diffuseurs /ha Confusion sexuelle;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf;;;;
Steinernema carpocapsae;Macro-organismes;Nématodes parasites d'insectes;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;"Nématodes parasites d'insectes. Contre les larves hivernantes; pluvérisation sur sol et troncs après récolte";Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf;;;;
Tagètes et romarin;Plantes de service;Plantes répulsives;Insecticides;Aérienne;Plantes répulsives;Pucerons;Pucerons;Installation de plantes répulsives;Aucun avis émis;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Ariane;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf;;;;
Granulovirus;Micro-organismes;Préparation virale;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;Alterner les ilots pour éviter les résistances ou choisir des isolats adaptés;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf;;;;
Huiles diverses;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Pucerons;Pucerons;asphyxie les jeunes larves et gène l'installation des colonies;Mitigé;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf;;;;
Kaolin;Substances naturelles;Origine minérale;Insecticides;Aérienne;Effet barrières;Pucerons;Pucerons;perturbe le vol de retour du pucerons cendré à l'automne;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Carpocapse;500 à 1000 diffuseurs /ha Confusion sexuelle;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf;;;;
